Date,Country,"Cumulative number of confirmed, probable and suspected cases","Cumulative number of of confirmed, probable and suspected deaths"
8/29/14,Guinea,648,430
8/29/14,Nigeria,19,7
8/29/14,Sierra Leone,1026,422
8/29/14,Liberia,1378,694
9/5/14,Sierra Leone,1261,491
9/5/14,Nigeria,22,8
9/5/14,Liberia,1871,1089
9/5/14,Guinea,812,517
9/5/14,Senegal,1,0
9/8/14,Senegal,3,0
9/8/14,Guinea,862,555
9/8/14,Sierra Leone,1361,509
9/8/14,Liberia,2046,1224
9/8/14,Nigeria,21,8
9/12/14,Guinea,861,557
9/12/14,Sierra Leone,1424,524
9/12/14,Nigeria,21,8
9/12/14,Liberia,2081,1137
9/12/14,Senegal,3,0
9/16/14,Senegal,1,0
9/16/14,Sierra Leone,1620,562
9/16/14,Guinea,936,595
9/16/14,Nigeria,21,8
9/16/14,Liberia,2407,1296
9/18/14,Nigeria,21,8
9/18/14,Guinea,942,601
9/18/14,Sierra Leone,1673,562
9/18/14,Liberia,2710,1459
9/18/14,Senegal,1,0
9/22/14,Nigeria,20,8
9/22/14,Sierra Leone,1813,593
9/22/14,Liberia,3022,1578
9/22/14,Senegal,1,0
9/22/14,Guinea,1008,632
9/24/14,Liberia,3280,1677
9/24/14,Guinea,1022,635
9/24/14,Nigeria,20,8
9/24/14,Senegal,1,0
9/24/14,Sierra Leone,1940,597
9/26/14,Sierra Leone,2021,605
9/26/14,Liberia,3458,1830
9/26/14,Senegal,1,0
9/26/14,Guinea,1074,648
9/26/14,Nigeria,20,8
10/1/14,Guinea,1157,710
10/1/14,Senegal,1,0
10/1/14,Nigeria,20,8
10/1/14,Sierra Leone,2304,622
10/1/14,Liberia,3696,1998
10/3/14,United States of America,1,0
10/3/14,Nigeria,20,8
10/3/14,Guinea,1199,739
10/3/14,Liberia,3834,2069
10/3/14,Sierra Leone,2437,623
10/3/14,Senegal,1,0
10/8/14,Nigeria,20,8
10/8/14,United States of America,1,0
10/8/14,Senegal,1,0
10/8/14,Guinea,1298,768
10/8/14,Sierra Leone,2789,879
10/8/14,Liberia,3924,2210
10/10/14,United States of America,1,0
10/10/14,Senegal,1,0
10/10/14,Liberia,4076,2316
10/10/14,Nigeria,20,8
10/10/14,Spain,1,0
10/10/14,Guinea,1350,778
10/10/14,Sierra Leone,2950,930
10/15/14,United States of America,2,1
10/15/14,Senegal,1,0
10/15/14,Nigeria,20,8
10/15/14,Liberia,4249,2458
10/15/14,Spain,1,0
10/15/14,Guinea,1472,843
10/15/14,Sierra Leone,3252,1183
10/17/14,Guinea,1519,862
10/17/14,Nigeria,20,8
10/17/14,Spain,1,0
10/17/14,Senegal,1,0
10/17/14,United States of America,3,1
10/17/14,Liberia,4262,2484
10/17/14,Sierra Leone,3410,1200
10/22/14,Nigeria,20,8
10/22/14,Spain,1,0
10/22/14,United States of America,3,1
10/22/14,Sierra Leone,3706,1259
10/22/14,Senegal,1,0
10/22/14,Liberia,4665,2705
10/22/14,Guinea,1540,904
10/25/14,Mali,1,1
10/25/14,United States of America,4,1
10/25/14,Sierra Leone,3896,1281
10/25/14,Spain,1,0
10/25/14,Senegal,1,0
10/25/14,Nigeria,20,8
10/25/14,Guinea,1553,926
10/25/14,Liberia,4665,2705
10/29/14,Liberia,6535,2413
10/29/14,Mali,1,1
10/29/14,Nigeria,20,8
10/29/14,Senegal,1,0
10/29/14,Spain,1,0
10/29/14,Guinea,1906,997
10/29/14,United States of America,4,1
10/29/14,Sierra Leone,5235,1500
10/31/14,Guinea,1667,1018
10/31/14,Nigeria,20,8
10/31/14,Spain,1,0
10/31/14,United States of America,4,1
10/31/14,Senegal,1,0
10/31/14,Mali,1,1
10/31/14,Liberia,6535,2413
10/31/14,Sierra Leone,5338,1510
11/5/14,Spain,1,0
11/5/14,United States of America,4,1
11/5/14,Guinea,1731,1041
11/5/14,Liberia,6525,2697
11/5/14,Mali,1,1
11/5/14,Nigeria,20,8
11/5/14,Senegal,1,0
11/5/14,Sierra Leone,4759,1070
11/7/14,Nigeria,20,8
11/7/14,Guinea,1760,1054
11/7/14,United States of America,4,1
11/7/14,Senegal,1,0
11/7/14,Liberia,6619,2766
11/7/14,Spain,1,0
11/7/14,Mali,1,1
11/7/14,Sierra Leone,4862,1130
11/12/14,Spain,1,0
11/12/14,United States of America,4,1
11/12/14,Mali,4,4
11/12/14,Nigeria,20,8
11/12/14,Guinea,1878,1142
11/12/14,Sierra Leone,5368,1169
11/12/14,Liberia,6822,2836
11/12/14,Senegal,1,0
11/14/14,Senegal,1,0
11/14/14,Guinea,1919,1166
11/14/14,Spain,1,0
11/14/14,Nigeria,20,8
11/14/14,Mali,4,3
11/14/14,United States of America,4,1
11/14/14,Liberia,6878,2812
11/14/14,Sierra Leone,5586,1187
11/19/14,Liberia,7069,2964
11/19/14,Spain,1,0
11/19/14,Sierra Leone,6073,1250
11/19/14,Senegal,1,0
11/19/14,Nigeria,20,8
11/19/14,Mali,6,5
11/19/14,United States of America,4,1
11/19/14,Guinea,1971,1192
11/21/14,Spain,1,0
11/21/14,Liberia,7082,2963
11/21/14,Nigeria,20,8
11/21/14,United States of America,4,1
11/21/14,Sierra Leone,6190,1267
11/21/14,Mali,6,6
11/21/14,Senegal,1,0
11/21/14,Guinea,2047,1214
11/26/14,Sierra Leone,6599,1398
11/26/14,Liberia,7168,3016
11/26/14,Mali,8,6
11/26/14,United States of America,4,1
11/26/14,Spain,1,0
11/26/14,Nigeria,20,8
11/26/14,Guinea,2134,1260
11/26/14,Senegal,1,0
12/1/14,Senegal,1,0
12/1/14,Mali,8,6
12/1/14,Spain,1,0
12/1/14,Sierra Leone,7109,1530
12/1/14,Liberia,7635,3145
12/1/14,Nigeria,20,8
12/1/14,Guinea,2155,1312
12/1/14,United States of America,4,1
12/3/14,Mali,8,6
12/3/14,Spain,1,0
12/3/14,Guinea,2164,1327
12/3/14,Senegal,1,0
12/3/14,Sierra Leone,7312,1583
12/3/14,Liberia,7635,3145
12/3/14,United States of America,4,1
12/3/14,Nigeria,20,8
12/10/14,Spain,1,0
12/10/14,Guinea,2292,1428
12/10/14,Senegal,1,0
12/10/14,Mali,8,6
12/10/14,Liberia,7719,3177
12/10/14,Sierra Leone,7897,1768
12/10/14,Nigeria,20,8
12/10/14,United States of America,4,1
12/15/14,Spain,1,0
12/15/14,Nigeria,20,8
12/15/14,Guinea,2394,1518
12/15/14,United States of America,4,1
12/15/14,Mali,8,6
12/15/14,Liberia,7797,3290
12/15/14,Senegal,1,0
12/15/14,Sierra Leone,8273,2033
12/17/14,Nigeria,20,8
12/17/14,Senegal,1,0
12/17/14,Spain,1,0
12/17/14,Liberia,7797,3290
12/17/14,Mali,8,6
12/17/14,United States of America,4,1
12/17/14,Guinea,2416,1525
12/17/14,Sierra Leone,8356,2085
12/22/14,Spain,1,0
12/22/14,United States of America,4,1
12/22/14,Nigeria,20,8
12/22/14,Senegal,1,0
12/22/14,Guinea,2571,1586
12/22/14,Liberia,7830,3376
12/22/14,Mali,8,6
12/22/14,Sierra Leone,8939,2556
12/23/14,Sierra Leone,9004,2582
12/23/14,Mali,8,6
12/23/14,Spain,1,0
12/23/14,Liberia,7830,3376
12/23/14,Senegal,1,0
12/23/14,Guinea,2597,1607
12/23/14,Nigeria,20,8
12/23/14,United States of America,4,1
12/24/14,Nigeria,20,8
12/24/14,Senegal,1,0
12/24/14,Guinea,2597,1607
12/24/14,Sierra Leone,9004,2582
12/24/14,Spain,1,0
12/24/14,Mali,8,6
12/24/14,Liberia,7862,3384
12/24/14,United States of America,4,1
12/26/14,Senegal,1,0
12/26/14,Mali,8,6
12/26/14,Sierra Leone,9203,2655
12/26/14,United States of America,4,1
12/26/14,Nigeria,20,8
12/26/14,Guinea,2630,1654
12/26/14,Liberia,7862,3384
12/26/14,Spain,1,0
12/29/14,United States of America,4,1
12/29/14,Sierra Leone,9409,2732
12/29/14,Nigeria,20,8
12/29/14,Mali,8,6
12/29/14,Liberia,7977,3413
12/29/14,Guinea,2695,1697
12/29/14,Senegal,1,0
12/29/14,Spain,1,0
12/30/14,United States of America,4,1
12/30/14,Sierra Leone,9446,2758
12/30/14,Mali,8,6
12/30/14,Liberia,7977,3413
12/30/14,Guinea,2706,1708
12/30/14,Spain,1,0
12/30/14,Senegal,1,0
12/30/14,Nigeria,20,8
12/31/14,Spain,1,0
12/31/14,Senegal,1,0
12/31/14,Liberia,8018,3423
12/31/14,Sierra Leone,9446,2758
12/31/14,Mali,8,6
12/31/14,Nigeria,20,8
12/31/14,United States of America,4,1
12/31/14,Guinea,2707,1709
1/2/15,Nigeria,20,8
1/2/15,Spain,1,0
1/2/15,United States of America,4,1
1/2/15,Senegal,1,0
1/2/15,United Kingdom,0,0
1/2/15,Liberia,8018,3423
1/2/15,Sierra Leone,9633,2827
1/2/15,Mali,8,6
1/2/15,Guinea,2730,1739
1/5/15,Sierra Leone,9772,2915
1/5/15,Liberia,8115,3471
1/5/15,Spain,1,0
1/5/15,Nigeria,20,8
1/5/15,United Kingdom,0,0
1/5/15,Guinea,2769,1767
1/5/15,United States of America,4,1
1/5/15,Mali,8,6
1/5/15,Senegal,1,0
1/6/15,United Kingdom,1,0
1/6/15,Guinea,2775,1781
1/6/15,Sierra Leone,9780,2943
1/6/15,Liberia,8157,3496
1/6/15,Spain,1,0
1/6/15,United States of America,4,1
1/6/15,Senegal,1,0
1/6/15,Nigeria,20,8
1/6/15,Mali,8,6
1/7/15,Spain,1,0
1/7/15,Guinea,2775,1781
1/7/15,Senegal,1,0
1/7/15,Nigeria,20,8
1/7/15,United Kingdom,1,0
1/7/15,Mali,8,6
1/7/15,United States of America,4,1
1/7/15,Sierra Leone,9780,2943
1/7/15,Liberia,8157,3496
1/8/15,United Kingdom,"
",0
1/8/15,Mali,"
",6
1/8/15,Guinea,2776,1786
1/8/15,Sierra Leone,10030,2977
1/8/15,Liberia,8166,3496
1/9/15,Mali,"
",6
1/9/15,Guinea,2793,1797
1/9/15,United Kingdom,"
",0
1/9/15,Sierra Leone,10030,2977
1/9/15,Liberia,8263,3515
1/12/15,Liberia,8278,3515
1/12/15,United Kingdom,"
",0
1/12/15,Sierra Leone,10094,3049
1/12/15,Mali,"
",6
1/12/15,Guinea,2799,1807
1/13/15,United Kingdom,"
",0
1/13/15,Mali,"
",6
1/13/15,Guinea,2799,1807
1/13/15,Liberia,8278,3515
1/13/15,Sierra Leone,10094,3049
1/14/15,Liberia,8331,3538
1/14/15,United States of America,4,1
1/14/15,Senegal,1,0
1/14/15,Guinea,2806,1814
1/14/15,Spain,1,0
1/14/15,Nigeria,20,8
1/14/15,Sierra Leone,10124,3062
1/14/15,Mali,8,6
1/14/15,United Kingdom,1,0
1/15/15,Sierra Leone,10150,3067
1/15/15,Liberia,8362,3556
1/15/15,United States of America,4,1
1/15/15,Mali,8,6
1/15/15,Spain,1,0
1/15/15,Guinea,2817,1821
1/15/15,United Kingdom,1,0
1/15/15,Nigeria,20,8
1/15/15,Senegal,1,0
1/16/15,Spain,1,0
1/16/15,Nigeria,20,8
1/16/15,Guinea,2825,1829
1/16/15,Mali,8,6
1/16/15,Senegal,1,0
1/16/15,Liberia,8362,3556
1/16/15,United States of America,4,1
1/16/15,Sierra Leone,10186,3083
1/16/15,United Kingdom,1,0
1/19/15,Nigeria,20,8
1/19/15,Liberia,8435,3587
1/19/15,United Kingdom,1,0
1/19/15,Spain,1,0
1/19/15,Guinea,2873,1875
1/19/15,Sierra Leone,10306,3132
1/19/15,Senegal,1,0
1/19/15,United States of America,4,1
1/19/15,Mali,8,6
1/20/15,Spain,1,0
1/20/15,United Kingdom,1,0
1/20/15,Senegal,1,0
1/20/15,Nigeria,20,8
1/20/15,Liberia,8478,3605
1/20/15,Guinea,2871,1876
1/20/15,Mali,8,6
1/20/15,United States of America,4,1
1/20/15,Sierra Leone,10340,3145
1/21/15,Sierra Leone,10340,3145
1/21/15,Nigeria,20,8
1/21/15,Liberia,8478,3605
1/21/15,Spain,1,0
1/21/15,Mali,8,6
1/21/15,Senegal,1,0
1/21/15,United States of America,4,1
1/21/15,Guinea,2871,1876
1/21/15,United Kingdom,1,0
1/22/15,Liberia,8524,3636
1/22/15,Senegal,1,0
1/22/15,United States of America,4,1
1/22/15,Nigeria,20,8
1/22/15,Sierra Leone,10362,3153
1/22/15,Mali,8,6
1/22/15,Guinea,2873,1879
1/22/15,Spain,1,0
1/22/15,United Kingdom,1,0
1/23/15,Sierra Leone,10400,3159
1/23/15,Mali,8,6
1/23/15,Liberia,8524,3636
1/23/15,Spain,1,0
1/23/15,Guinea,2873,1880
1/23/15,Senegal,1,0
1/23/15,Nigeria,20,8
1/23/15,United States of America,4,1
1/23/15,United Kingdom,1,0
1/26/15,Senegal,1,0
1/26/15,Sierra Leone,10491,3195
1/26/15,Nigeria,20,8
1/26/15,United States of America,4,1
1/26/15,Guinea,2909,1906
1/26/15,United Kingdom,1,0
1/26/15,Mali,8,6
1/26/15,Liberia,8524,3636
1/26/15,Spain,1,0
1/27/15,Mali,8,6
1/27/15,Liberia,8622,3686
1/27/15,United States of America,4,1
1/27/15,Spain,1,0
1/27/15,Nigeria,20,8
1/27/15,Senegal,1,0
1/27/15,Sierra Leone,10518,3199
1/27/15,United Kingdom,1,0
1/27/15,Guinea,2917,1910
1/28/15,Senegal,1,0
1/28/15,Liberia,8622,3686
1/28/15,United States of America,4,1
1/28/15,Sierra Leone,10518,3199
1/28/15,Spain,1,0
1/28/15,United Kingdom,1,0
1/28/15,Mali,8,6
1/28/15,Nigeria,20,8
1/28/15,Guinea,2917,1910
1/29/15,Mali,8,6
1/29/15,Nigeria,20,8
1/29/15,Spain,1,0
1/29/15,Liberia,8643,3700
1/29/15,United States of America,4,1
1/29/15,Senegal,1,0
1/29/15,Sierra Leone,10537,3207
1/29/15,Guinea,2921,1911
1/29/15,United Kingdom,1,0
1/30/15,Spain,1,0
1/30/15,Liberia,8643,3700
1/30/15,Sierra Leone,10561,3216
1/30/15,United Kingdom,1,0
1/30/15,Senegal,1,0
1/30/15,United States of America,4,1
1/30/15,Guinea,2920,1913
1/30/15,Nigeria,20,8
1/30/15,Mali,8,6
2/2/15,Liberia,8668,3710
2/2/15,Sierra Leone,10707,3274
2/2/15,United States of America,4,1
2/2/15,Nigeria,20,8
2/2/15,Senegal,1,0
2/2/15,Guinea,2959,1937
2/2/15,Mali,8,6
2/2/15,Spain,1,0
2/2/15,United Kingdom,1,0
2/3/15,Guinea,2975,1944
2/3/15,Mali,8,6
2/3/15,Senegal,1,0
2/3/15,Liberia,8729,3739
2/3/15,Nigeria,20,8
2/3/15,United Kingdom,1,0
2/3/15,Spain,1,0
2/3/15,Sierra Leone,10740,3276
2/3/15,United States of America,4,1
2/4/15,Sierra Leone,10740,3276
2/4/15,Mali,8,6
2/4/15,Liberia,8745,3746
2/4/15,Guinea,2975,1944
2/4/15,Spain,1,0
2/4/15,United Kingdom,1,0
2/4/15,Senegal,1,0
2/4/15,Nigeria,20,8
2/4/15,United States of America,4,1
2/5/15,United Kingdom,1,0
2/5/15,United States of America,4,1
2/5/15,Mali,8,6
2/5/15,Guinea,2986,1947
2/5/15,Sierra Leone,10756,3286
2/5/15,Nigeria,20,8
2/5/15,Liberia,8745,3746
2/5/15,Senegal,1,0
2/5/15,Spain,1,0
2/6/15,Nigeria,20,8
2/6/15,Mali,8,6
2/6/15,Spain,1,0
2/6/15,Senegal,1,0
2/6/15,Sierra Leone,10792,3301
2/6/15,Liberia,8745,3746
2/6/15,United States of America,4,1
2/6/15,United Kingdom,1,0
2/6/15,Guinea,2988,1957
2/10/15,Guinea,3044,1995
2/10/15,Spain,1,0
2/10/15,Mali,8,6
2/10/15,United States of America,4,1
2/10/15,Liberia,8881,3826
2/10/15,Senegal,1,0
2/10/15,Sierra Leone,10934,3341
2/10/15,United Kingdom,1,0
2/10/15,Nigeria,20,8
2/11/15,United States of America,4,1
2/11/15,Nigeria,20,8
2/11/15,Sierra Leone,10934,3341
2/11/15,Guinea,3044,1995
2/11/15,Senegal,1,0
2/11/15,Liberia,8881,3826
2/11/15,Mali,8,6
2/11/15,Spain,1,0
2/11/15,United Kingdom,1,0
2/12/15,Guinea,3068,2018
2/12/15,Sierra Leone,10954,3350
2/12/15,Liberia,8881,3826
2/12/15,Nigeria,20,8
2/12/15,United Kingdom,1,0
2/12/15,Mali,8,6
2/12/15,Senegal,1,0
2/12/15,Spain,1,0
2/12/15,United States of America,4,1
2/13/15,Sierra Leone,10987,3363
2/13/15,Senegal,1,0
2/13/15,Spain,1,0
2/13/15,Mali,8,6
2/13/15,Guinea,3081,2032
2/13/15,United Kingdom,1,0
2/13/15,United States of America,4,1
2/13/15,Liberia,8931,3858
2/13/15,Nigeria,20,8
2/16/15,Liberia,9007,3900
2/16/15,United States of America,4,1
2/16/15,Mali,8,6
2/16/15,United Kingdom,1,0
2/16/15,Guinea,3101,2052
2/16/15,Senegal,1,0
2/16/15,Spain,1,0
2/16/15,Sierra Leone,11074,3401
2/16/15,Nigeria,20,8
2/17/15,Nigeria,20,8
2/17/15,Liberia,9007,3900
2/17/15,United States of America,4,1
2/17/15,Guinea,3108,2057
2/17/15,Sierra Leone,11103,3408
2/17/15,Spain,1,0
2/17/15,Mali,8,6
2/17/15,United Kingdom,1,0
2/17/15,Senegal,1,0
2/18/15,Sierra Leone,11103,3408
2/18/15,United Kingdom,1,0
2/18/15,Nigeria,20,8
2/18/15,Spain,1,0
2/18/15,Mali,8,6
2/18/15,Liberia,9007,3900
2/18/15,Senegal,1,0
2/18/15,Guinea,3108,2057
2/18/15,United States of America,4,1
2/19/15,Nigeria,20,8
2/19/15,United States of America,4,1
2/19/15,Liberia,9096,3947
2/19/15,Senegal,1,0
2/19/15,Sierra Leone,11155,3423
2/19/15,Spain,1,0
2/19/15,Mali,8,6
2/19/15,Guinea,3115,2067
2/19/15,United Kingdom,1,0
2/20/15,United Kingdom,1,0
2/20/15,Liberia,9096,3947
2/20/15,Guinea,3120,2072
2/20/15,United States of America,4,1
2/20/15,Nigeria,20,8
2/20/15,Sierra Leone,11155,3423
2/20/15,Mali,8,6
2/20/15,Spain,1,0
2/20/15,Senegal,1,0
2/23/15,Liberia,9229,4032
2/23/15,Senegal,1,0
2/23/15,Spain,1,0
2/23/15,United Kingdom,1,0
2/23/15,Mali,8,6
2/23/15,Sierra Leone,11155,3423
2/23/15,Nigeria,20,8
2/23/15,Guinea,3155,2086
2/23/15,United States of America,4,1
2/25/15,United Kingdom,1,0
2/25/15,Sierra Leone,11301,3461
2/25/15,Liberia,9238,4037
2/25/15,Nigeria,20,8
2/25/15,Mali,8,6
2/25/15,United States of America,4,1
2/25/15,Guinea,3155,2091
2/25/15,Senegal,1,0
2/25/15,Spain,1,0
2/26/15,Mali,8,6
2/26/15,Senegal,1,0
2/26/15,Guinea,3175,2101
2/26/15,Sierra Leone,11341,3479
2/26/15,United Kingdom,1,0
2/26/15,United States of America,4,1
2/26/15,Liberia,9265,4057
2/26/15,Nigeria,20,8
2/26/15,Spain,1,0
2/27/15,Sierra Leone,11370,3490
2/27/15,Mali,8,6
2/27/15,Nigeria,20,8
2/27/15,United States of America,4,1
2/27/15,Guinea,3190,2113
2/27/15,United Kingdom,1,0
2/27/15,Senegal,1,0
2/27/15,Spain,1,0
2/27/15,Liberia,9265,4057
3/2/15,Guinea,3205,2127
3/2/15,United Kingdom,1,0
3/2/15,Sierra Leone,11443,3530
3/2/15,Spain,1,0
3/2/15,Nigeria,20,8
3/2/15,Mali,8,6
3/2/15,Liberia,9265,4057
3/2/15,United States of America,4,1
3/2/15,Senegal,1,0
3/4/15,Liberia,9265,4057
3/4/15,Nigeria,20,8
3/4/15,Senegal,1,0
3/4/15,United States of America,4,1
3/4/15,Mali,8,6
3/4/15,Spain,1,0
3/4/15,Sierra Leone,11443,3530
3/4/15,Guinea,3205,2127
3/4/15,United Kingdom,1,0
3/5/15,Nigeria,20,8
3/5/15,United Kingdom,1,0
3/5/15,Guinea,3237,2141
3/5/15,Spain,1,0
3/5/15,Liberia,9249,4117
3/5/15,Senegal,1,0
3/5/15,Mali,8,6
3/5/15,Sierra Leone,11497,3565
3/5/15,United States of America,4,1
3/6/15,United States of America,4,1
3/6/15,Mali,8,6
3/6/15,Nigeria,20,8
3/6/15,Liberia,9249,4117
3/6/15,Sierra Leone,11517,3576
3/6/15,Guinea,3248,2147
3/6/15,Spain,1,0
3/6/15,Senegal,1,0
3/6/15,United Kingdom,1,0
3/10/15,Guinea,3285,2170
3/10/15,Mali,8,6
3/10/15,Sierra Leone,11619,3629
3/10/15,Spain,1,0
3/10/15,United States of America,4,1
3/10/15,United Kingdom,1,0
3/10/15,Liberia,9343,4162
3/10/15,Senegal,1,0
3/10/15,Nigeria,20,8
3/11/15,Guinea,3285,2170
3/11/15,United States of America,4,1
3/11/15,United Kingdom,1,0
3/11/15,Mali,8,6
3/11/15,Senegal,1,0
3/11/15,Nigeria,20,8
3/11/15,Liberia,9343,4162
3/11/15,Spain,1,0
3/11/15,Sierra Leone,11619,3629
3/12/15,Nigeria,20,8
3/12/15,Spain,1,0
3/12/15,United Kingdom,1,0
3/12/15,United States of America,4,1
3/12/15,Sierra Leone,11677,3655
3/12/15,Liberia,9343,4162
3/12/15,Guinea,3330,2187
3/12/15,Senegal,1,0
3/12/15,Mali,8,6
3/13/15,Spain,1,0
3/13/15,Liberia,9482,4241
3/13/15,Sierra Leone,11696,3663
3/13/15,United States of America,4,1
3/13/15,Guinea,3331,2192
3/13/15,United Kingdom,1,0
3/13/15,Nigeria,20,8
3/13/15,Senegal,1,0
3/13/15,Mali,8,6
3/16/15,Mali,8,6
3/16/15,Guinea,3373,2216
3/16/15,Sierra Leone,11742,3687
3/16/15,Senegal,1,0
3/16/15,Nigeria,20,8
3/16/15,Spain,1,0
3/16/15,United States of America,4,1
3/16/15,Liberia,9482,4241
3/16/15,United Kingdom,1,0
3/17/15,Guinea,3389,2224
3/17/15,Mali,8,6
3/17/15,Nigeria,20,8
3/17/15,Senegal,1,0
3/17/15,Sierra Leone,11751,3691
3/17/15,Liberia,9526,4264
3/17/15,Spain,1,0
3/17/15,United Kingdom,1,0
3/17/15,United States of America,4,1
3/18/15,Liberia,9526,4264
3/18/15,Sierra Leone,11751,3691
3/18/15,Spain,1,0
3/18/15,Guinea,3389,2224
3/18/15,United Kingdom,1,0
3/18/15,Nigeria,20,8
3/18/15,Senegal,1,0
3/18/15,Mali,8,6
3/18/15,United States of America,4,1
3/20/15,United Kingdom,1,0
3/20/15,Guinea,3404,2241
3/20/15,Sierra Leone,11794,3712
3/20/15,United States of America,4,1
3/20/15,Nigeria,20,8
3/20/15,Senegal,1,0
3/20/15,Spain,1,0
3/20/15,Mali,8,6
3/20/15,Liberia,9555,4283
3/23/15,United States of America,4,1
3/23/15,Senegal,1,0
3/23/15,Liberia,9593,4296
3/23/15,Mali,8,6
3/23/15,Sierra Leone,11829,3742
3/23/15,United Kingdom,1,0
3/23/15,Guinea,3420,2261
3/23/15,Spain,1,0
3/23/15,Nigeria,20,8
3/24/15,Senegal,1,0
3/24/15,Sierra Leone,11841,3747
3/24/15,Guinea,3429,2263
3/24/15,Spain,1,0
3/24/15,Nigeria,20,8
3/24/15,Mali,8,6
3/24/15,United Kingdom,1,0
3/24/15,United States of America,4,1
3/24/15,Liberia,9602,4301
3/25/15,Senegal,1,0
3/25/15,Liberia,9602,4301
3/25/15,Spain,1,0
3/25/15,Mali,8,6
3/25/15,Sierra Leone,11841,3747
3/25/15,United Kingdom,1,0
3/25/15,Guinea,3429,2263
3/25/15,Nigeria,20,8
3/25/15,United States of America,4,1
3/26/15,Spain,1,0
3/26/15,Guinea,3459,2273
3/26/15,Senegal,1,0
3/26/15,Sierra Leone,11866,3764
3/26/15,Liberia,9602,4301
3/26/15,Mali,8,6
3/26/15,Nigeria,20,8
3/26/15,United Kingdom,1,0
3/26/15,United States of America,4,1
3/27/15,Liberia,9602,4301
3/27/15,Spain,1,0
3/27/15,Mali,8,6
3/27/15,Nigeria,20,8
3/27/15,Senegal,1,0
3/27/15,United Kingdom,1,0
3/27/15,United States of America,4,1
3/27/15,Guinea,3466,2276
3/27/15,Sierra Leone,11889,3773
4/7/15,Spain,1,0
4/7/15,Mali,8,6
4/7/15,Senegal,1,0
4/7/15,Nigeria,20,8
4/7/15,Guinea,3515,2333
4/7/15,United Kingdom,1,0
4/7/15,Liberia,9862,4408
4/7/15,United States of America,4,1
4/7/15,Sierra Leone,12139,3832
4/9/15,Liberia,9862,4408
4/9/15,United Kingdom,1,0
4/9/15,United States of America,4,1
4/9/15,Mali,8,6
4/9/15,Senegal,1,0
4/9/15,Spain,1,0
4/9/15,Nigeria,20,8
4/9/15,Guinea,3515,2335
4/9/15,Sierra Leone,12155,3841
4/13/15,Sierra Leone,12188,3854
4/13/15,Senegal,1,0
4/13/15,Liberia,9862,4408
4/13/15,Mali,8,6
4/13/15,United States of America,4,1
4/13/15,Nigeria,20,8
4/13/15,Spain,1,0
4/13/15,United Kingdom,1,0
4/13/15,Guinea,3541,2342
4/14/15,Sierra Leone,12201,3857
4/14/15,United Kingdom,1,0
4/14/15,United States of America,4,1
4/14/15,Nigeria,20,8
4/14/15,Mali,8,6
4/14/15,Guinea,3548,2346
4/14/15,Liberia,9862,4408
4/14/15,Senegal,1,0
4/14/15,Spain,1,0
4/15/15,Mali,8,6
4/15/15,Sierra Leone,12201,3857
4/15/15,Liberia,10042,4486
4/15/15,Senegal,1,0
4/15/15,Guinea,3548,2346
4/15/15,United States of America,4,1
4/15/15,Spain,1,0
4/15/15,Nigeria,20,8
4/15/15,United Kingdom,1,0
4/16/15,Spain,1,0
4/16/15,United States of America,4,1
4/16/15,Mali,8,6
4/16/15,Sierra Leone,12223,3865
4/16/15,Nigeria,20,8
4/16/15,United Kingdom,1,0
4/16/15,Senegal,1,0
4/16/15,Liberia,10042,4486
4/16/15,Guinea,3566,2348
