Date,Country,"Cumulative number of confirmed, probable and suspected cases","Cumulative number of of confirmed, probable and suspected deaths"
4/17/15,Guinea,3569,2351
4/17/15,Nigeria,20,8
4/17/15,United States of America,4,1
4/17/15,United Kingdom,1,0
4/17/15,Senegal,1,0
4/17/15,Liberia,10042,4486
4/17/15,Spain,1,0
4/17/15,Mali,8,6
4/17/15,Sierra Leone,12244,3865
4/20/15,United Kingdom,1,0
4/20/15,Mali,8,6
4/20/15,Sierra Leone,12256,3872
4/20/15,Senegal,1,0
4/20/15,Guinea,3565,2357
4/20/15,Liberia,10042,4486
4/20/15,Nigeria,20,8
4/20/15,Spain,1,0
4/20/15,United States of America,4,1
4/21/15,Spain,1,0
4/21/15,Liberia,10042,4486
4/21/15,Nigeria,20,8
4/21/15,Mali,8,6
4/21/15,Senegal,1,0
4/21/15,United States of America,4,1
4/21/15,Guinea,3565,2358
4/21/15,United Kingdom,1,0
4/21/15,Sierra Leone,12265,3877
4/22/15,United Kingdom,1,0
4/22/15,Spain,1,0
4/22/15,Sierra Leone,12267,3877
4/22/15,Mali,8,6
4/22/15,United States of America,4,1
4/22/15,Guinea,3565,2358
4/22/15,Senegal,1,0
4/22/15,Liberia,10212,4573
4/22/15,Nigeria,20,8
4/23/15,Mali,8,6
4/23/15,United Kingdom,1,0
4/23/15,Liberia,10212,4573
4/23/15,Guinea,3568,2362
4/23/15,Nigeria,20,8
4/23/15,Spain,1,0
4/23/15,Sierra Leone,12294,3885
4/23/15,United States of America,4,1
4/23/15,Senegal,1,0
4/24/15,Spain,1,0
4/24/15,United Kingdom,1,0
4/24/15,Mali,8,6
4/24/15,Nigeria,20,8
4/24/15,United States of America,4,1
4/24/15,Liberia,10212,4573
4/24/15,Guinea,3576,2365
4/24/15,Sierra Leone,12313,3886
4/24/15,Senegal,1,0
4/27/15,United Kingdom,1,0
4/27/15,Spain,1,0
4/27/15,Mali,8,6
4/27/15,Liberia,10212,4573
4/27/15,Nigeria,20,8
4/27/15,United States of America,4,1
4/27/15,Sierra Leone,12362,3895
4/27/15,Guinea,3585,2374
4/27/15,Senegal,1,0
4/28/15,Sierra Leone,12371,3899
4/28/15,Nigeria,20,8
4/28/15,Guinea,3584,2377
4/28/15,Senegal,1,0
4/28/15,United Kingdom,1,0
4/28/15,Spain,1,0
4/28/15,United States of America,4,1
4/28/15,Liberia,10322,4608
4/28/15,Mali,8,6
4/30/15,Senegal,1,0
4/30/15,Guinea,3581,2381
4/30/15,United States of America,4,1
4/30/15,Spain,1,0
4/30/15,United Kingdom,1,0
4/30/15,Nigeria,20,8
4/30/15,Mali,8,6
4/30/15,Sierra Leone,12387,3901
4/30/15,Liberia,10322,4608
5/1/15,Sierra Leone,12398,3901
5/1/15,Mali,8,6
5/1/15,Nigeria,20,8
5/1/15,United States of America,4,1
5/1/15,Guinea,3578,2383
5/1/15,Senegal,1,0
5/1/15,Liberia,10322,4608
5/1/15,United Kingdom,1,0
5/1/15,Spain,1,0
5/4/15,United Kingdom,1,0
5/4/15,Sierra Leone,12426,3902
5/4/15,Liberia,10322,4608
5/4/15,Mali,8,6
5/4/15,Nigeria,20,8
5/4/15,United States of America,4,1
5/4/15,Spain,1,0
5/4/15,Senegal,1,0
5/4/15,Guinea,3591,2385
5/5/15,Mali,8,6
5/5/15,Spain,1,0
5/5/15,Liberia,10507,4691
5/5/15,United States of America,4,1
5/5/15,Nigeria,20,8
5/5/15,Sierra Leone,12440,3903
5/5/15,United Kingdom,1,0
5/5/15,Senegal,1,0
5/5/15,Guinea,3589,2386
5/6/15,Guinea,3589,2386
5/6/15,Liberia,10564,4716
5/6/15,United Kingdom,1,0
5/6/15,Nigeria,20,8
5/6/15,Mali,8,6
5/6/15,United States of America,4,1
5/6/15,Sierra Leone,12440,3903
5/6/15,Senegal,1,0
5/6/15,Spain,1,0
5/7/15,Liberia,10564,4716
5/7/15,Spain,1,0
5/7/15,Mali,8,6
5/7/15,Sierra Leone,12470,3904
5/7/15,United States of America,4,1
5/7/15,United Kingdom,1,0
5/7/15,Senegal,1,0
5/7/15,Guinea,3592,2387
5/7/15,Nigeria,20,8
5/8/15,Senegal,1,0
5/8/15,Spain,1,0
5/8/15,Sierra Leone,12492,3904
5/8/15,United States of America,4,1
5/8/15,Nigeria,20,8
5/8/15,Liberia,10564,4716
5/8/15,United Kingdom,1,0
5/8/15,Mali,8,6
5/8/15,Guinea,3592,2387
5/11/15,United Kingdom,1,0
5/11/15,Guinea,3599,2391
5/11/15,Senegal,1,0
5/11/15,United States of America,4,1
5/11/15,Spain,1,0
5/11/15,Mali,8,6
5/11/15,Liberia,10604,4769
5/11/15,Nigeria,20,8
5/11/15,Sierra Leone,12519,3904
5/12/15,Senegal,1,0
5/12/15,Mali,8,6
5/12/15,Liberia,10604,4769
5/12/15,United States of America,4,1
5/12/15,United Kingdom,1,0
5/12/15,Sierra Leone,12523,3904
5/12/15,Nigeria,20,8
5/12/15,Guinea,3597,2392
5/12/15,Spain,1,0
5/13/15,Sierra Leone,12519,3904
5/13/15,United Kingdom,1,0
5/13/15,Senegal,1,0
5/13/15,Nigeria,20,8
5/13/15,Spain,1,0
5/13/15,Liberia,10604,4769
5/13/15,Mali,8,6
5/13/15,Guinea,3599,2391
5/13/15,United States of America,4,1
5/14/15,Nigeria,20,8
5/14/15,Spain,1,0
5/14/15,Liberia,10604,4769
5/14/15,United States of America,4,1
5/14/15,Mali,8,6
5/14/15,Guinea,3615,2399
5/14/15,Senegal,1,0
5/14/15,United Kingdom,1,0
5/14/15,Sierra Leone,12536,3904
5/14/15,Italy,1,0
5/15/15,Mali,8,6
5/15/15,Guinea,3619,2401
5/15/15,Sierra Leone,12540,3904
5/15/15,Nigeria,20,8
5/15/15,United Kingdom,1,0
5/15/15,Italy,1,0
5/15/15,Spain,1,0
5/15/15,United States of America,4,1
5/15/15,Senegal,1,0
5/15/15,Liberia,10604,4769
5/18/15,Nigeria,20,8
5/18/15,Spain,1,0
5/18/15,Sierra Leone,12593,3906
5/18/15,United Kingdom,1,0
5/18/15,Liberia,10666,4806
5/18/15,Senegal,1,0
5/18/15,Italy,1,0
5/18/15,Mali,8,6
5/18/15,United States of America,4,1
5/18/15,Guinea,3626,2405
5/19/15,Mali,8,6
5/19/15,Italy,1,0
5/19/15,Guinea,3635,2407
5/19/15,Sierra Leone,12632,3907
5/19/15,Spain,1,0
5/19/15,Nigeria,20,8
5/19/15,United Kingdom,1,0
5/19/15,United States of America,4,1
5/19/15,Liberia,10666,4806
5/19/15,Senegal,1,0
5/20/15,Spain,1,0
5/20/15,United Kingdom,1,0
5/20/15,Sierra Leone,12632,3907
5/20/15,Senegal,1,0
5/20/15,Nigeria,20,8
5/20/15,Italy,1,0
5/20/15,Guinea,3635,2407
5/20/15,Mali,8,6
5/20/15,Liberia,10666,4806
5/20/15,United States of America,4,1
5/21/15,Liberia,10666,4806
5/21/15,Italy,1,0
5/21/15,Spain,1,0
5/21/15,Sierra Leone,12656,3907
5/21/15,Nigeria,20,8
5/21/15,Senegal,1,0
5/21/15,Mali,8,6
5/21/15,United Kingdom,1,0
5/21/15,Guinea,3649,2409
5/21/15,United States of America,4,1
5/22/15,Spain,1,0
5/22/15,Mali,8,6
5/22/15,Liberia,10666,4806
5/22/15,Italy,1,0
5/22/15,United States of America,4,1
5/22/15,Sierra Leone,12666,3907
5/22/15,Guinea,3647,2412
5/22/15,Nigeria,20,8
5/22/15,United Kingdom,1,0
5/22/15,Senegal,1,0
5/25/15,Nigeria,20,8
5/25/15,Italy,1,0
5/25/15,United Kingdom,1,0
5/25/15,United States of America,4,1
5/25/15,Mali,8,6
5/25/15,Spain,1,0
5/25/15,Senegal,1,0
5/25/15,Liberia,10666,4806
5/25/15,Guinea,3640,2418
5/25/15,Sierra Leone,12696,3908
5/26/15,Nigeria,20,8
5/26/15,Senegal,1,0
5/26/15,Guinea,3641,2420
5/26/15,Mali,8,6
5/26/15,Italy,1,0
5/26/15,Spain,1,0
5/26/15,Sierra Leone,12706,3908
5/26/15,United Kingdom,1,0
5/26/15,Liberia,10666,4806
5/26/15,United States of America,4,1
5/27/15,Mali,8,6
5/27/15,Italy,1,0
5/27/15,Guinea,3641,2420
5/27/15,Nigeria,20,8
5/27/15,Sierra Leone,12706,3908
5/27/15,United States of America,4,1
5/27/15,Liberia,10666,4806
5/27/15,Spain,1,0
5/27/15,United Kingdom,1,0
5/27/15,Senegal,1,0
5/28/15,Italy,1,0
5/28/15,Mali,8,6
5/28/15,United States of America,4,1
5/28/15,Liberia,10666,4806
5/28/15,Spain,1,0
5/28/15,Senegal,1,0
5/28/15,Nigeria,20,8
5/28/15,Guinea,3639,2423
5/28/15,United Kingdom,1,0
5/28/15,Sierra Leone,12735,3911
5/29/15,Guinea,3644,2425
5/29/15,United Kingdom,1,0
5/29/15,Liberia,10666,4806
5/29/15,United States of America,4,1
5/29/15,Italy,1,0
5/29/15,Sierra Leone,12745,3911
5/29/15,Nigeria,20,8
5/29/15,Spain,1,0
5/29/15,Senegal,1,0
5/29/15,Mali,8,6
6/1/15,United Kingdom,1,0
6/1/15,United States of America,4,1
6/1/15,Sierra Leone,12816,3911
6/1/15,Nigeria,20,8
6/1/15,Spain,1,0
6/1/15,Senegal,1,0
6/1/15,Italy,1,0
6/1/15,Guinea,3653,2428
6/1/15,Liberia,10666,4806
6/1/15,Mali,8,6
6/2/15,Sierra Leone,12827,3912
6/2/15,Nigeria,20,8
6/2/15,Senegal,1,0
6/2/15,Guinea,3652,2429
6/2/15,Mali,8,6
6/2/15,United States of America,4,1
6/2/15,Liberia,10666,4806
6/2/15,Spain,1,0
6/2/15,Italy,1,0
6/2/15,United Kingdom,1,0
6/3/15,United States of America,4,1
6/3/15,United Kingdom,1,0
6/3/15,Senegal,1,0
6/3/15,Nigeria,20,8
6/3/15,Sierra Leone,12827,3912
6/3/15,Italy,1,0
6/3/15,Guinea,3652,2429
6/3/15,Spain,1,0
6/3/15,Mali,8,6
6/3/15,Liberia,10666,4806
6/4/15,Guinea,3657,2431
6/4/15,Sierra Leone,12850,3912
6/4/15,United States of America,4,1
6/4/15,Spain,1,0
6/4/15,Mali,8,6
6/4/15,Senegal,1,0
6/4/15,Liberia,10666,4806
6/4/15,Nigeria,20,8
6/4/15,United Kingdom,1,0
6/4/15,Italy,1,0
6/5/15,United Kingdom,1,0
6/5/15,Guinea,3664,2431
6/5/15,Italy,1,0
6/5/15,United States of America,4,1
6/5/15,Spain,1,0
6/5/15,Senegal,1,0
6/5/15,Liberia,10666,4806
6/5/15,Nigeria,20,8
6/5/15,Mali,8,6
6/5/15,Sierra Leone,12859,3912
6/8/15,Senegal,1,0
6/8/15,Nigeria,20,8
6/8/15,Sierra Leone,12884,3913
6/8/15,United States of America,4,1
6/8/15,Spain,1,0
6/8/15,Guinea,3669,2435
6/8/15,Liberia,10666,4806
6/8/15,Italy,1,0
6/8/15,Mali,8,6
6/8/15,United Kingdom,1,0
6/9/15,Sierra Leone,12901,3915
6/9/15,Spain,1,0
6/9/15,Liberia,10666,4806
6/9/15,United States of America,4,1
6/9/15,United Kingdom,1,0
6/9/15,Guinea,3670,2437
6/9/15,Mali,8,6
6/9/15,Nigeria,20,8
6/9/15,Senegal,1,0
6/9/15,Italy,1,0
6/10/15,Mali,8,6
6/10/15,United Kingdom,1,0
6/10/15,Senegal,1,0
6/10/15,Italy,1,0
6/10/15,Spain,1,0
6/10/15,United States of America,4,1
6/10/15,Liberia,10666,4806
6/10/15,Guinea,3670,2437
6/10/15,Nigeria,20,8
6/10/15,Sierra Leone,12901,3915
6/11/15,Italy,1,0
6/11/15,United States of America,4,1
6/11/15,Guinea,3674,2440
6/11/15,Spain,1,0
6/11/15,Mali,8,6
6/11/15,Nigeria,20,8
6/11/15,Senegal,1,0
6/11/15,Liberia,10666,4806
6/11/15,United Kingdom,1,0
6/11/15,Sierra Leone,12911,3917
6/12/15,Liberia,10666,4806
6/12/15,Guinea,3677,2440
6/12/15,Nigeria,20,8
6/12/15,Mali,8,6
6/12/15,Spain,1,0
6/12/15,United States of America,4,1
6/12/15,Sierra Leone,12932,3917
6/12/15,United Kingdom,1,0
6/12/15,Italy,1,0
6/12/15,Senegal,1,0
6/15/15,Spain,1,0
6/15/15,United States of America,4,1
6/15/15,Mali,8,6
6/15/15,Guinea,3677,2443
6/15/15,Liberia,10666,4806
6/15/15,Italy,1,0
6/15/15,Sierra Leone,12962,3919
6/15/15,Nigeria,20,8
6/15/15,United Kingdom,1,0
6/15/15,Senegal,1,0
6/16/15,Guinea,3678,2444
6/16/15,Liberia,10666,4806
6/16/15,Mali,8,6
6/16/15,United Kingdom,1,0
6/16/15,Sierra Leone,12965,3919
6/16/15,United States of America,4,1
6/16/15,Senegal,1,0
6/16/15,Italy,1,0
6/16/15,Nigeria,20,8
6/16/15,Spain,1,0
6/17/15,United States of America,4,1
6/17/15,Sierra Leone,12965,3919
6/17/15,Nigeria,20,8
6/17/15,United Kingdom,1,0
6/17/15,Italy,1,0
6/17/15,Senegal,1,0
6/17/15,Spain,1,0
6/17/15,Mali,8,6
6/17/15,Guinea,3674,2444
6/17/15,Liberia,10666,4806
6/18/15,Sierra Leone,12990,3922
6/18/15,Liberia,10666,4806
6/18/15,United States of America,4,1
6/18/15,Italy,1,0
6/18/15,Senegal,1,0
6/18/15,United Kingdom,1,0
6/18/15,Spain,1,0
6/18/15,Nigeria,20,8
6/18/15,Guinea,3675,2445
6/18/15,Mali,8,6
6/19/15,Mali,8,6
6/19/15,Sierra Leone,13012,3926
6/19/15,Nigeria,20,8
6/19/15,Spain,1,0
6/19/15,United States of America,4,1
6/19/15,Senegal,1,0
6/19/15,United Kingdom,1,0
6/19/15,Italy,1,0
6/19/15,Liberia,10666,4806
6/19/15,Guinea,3674,2446
6/22/15,Liberia,10666,4806
6/22/15,Spain,1,0
6/22/15,United Kingdom,1,0
6/22/15,Italy,1,0
6/22/15,Guinea,3698,2456
6/22/15,Sierra Leone,13051,3928
6/22/15,Mali,8,6
6/22/15,United States of America,4,1
6/22/15,Nigeria,20,8
6/22/15,Senegal,1,0
6/23/15,Italy,1,0
6/23/15,Sierra Leone,13059,3928
6/23/15,Liberia,10666,4806
6/23/15,United Kingdom,1,0
6/23/15,Nigeria,20,8
6/23/15,Senegal,1,0
6/23/15,United States of America,4,1
6/23/15,Spain,1,0
6/23/15,Mali,8,6
6/23/15,Guinea,3718,2473
6/24/15,United States of America,4,1
6/24/15,Sierra Leone,13059,3928
6/24/15,Senegal,1,0
6/24/15,United Kingdom,1,0
6/24/15,Guinea,3718,2473
6/24/15,Liberia,10666,4806
6/24/15,Mali,8,6
6/24/15,Italy,1,0
6/24/15,Nigeria,20,8
6/24/15,Spain,1,0
6/25/15,Nigeria,20,8
6/25/15,Sierra Leone,13083,3931
6/25/15,Senegal,1,0
6/25/15,Mali,8,6
6/25/15,Spain,1,0
6/25/15,United Kingdom,1,0
6/25/15,Liberia,10666,4806
6/25/15,United States of America,4,1
6/25/15,Guinea,3718,2480
6/25/15,Italy,1,0
6/26/15,Guinea,3720,2480
6/26/15,Spain,1,0
6/26/15,Senegal,1,0
6/26/15,Italy,1,0
6/26/15,Sierra Leone,13093,3931
6/26/15,Liberia,10666,4806
6/26/15,United Kingdom,1,0
6/26/15,Mali,8,6
6/26/15,Nigeria,20,8
6/26/15,United States of America,4,1
6/29/15,Senegal,1,0
6/29/15,United Kingdom,1,0
6/29/15,Nigeria,20,8
6/29/15,Guinea,3724,2482
6/29/15,Sierra Leone,13115,3932
6/29/15,Mali,8,6
6/29/15,Spain,1,0
6/29/15,Liberia,10666,4806
6/29/15,United States of America,4,1
6/29/15,Italy,1,0
6/30/15,United Kingdom,1,0
6/30/15,Mali,8,6
6/30/15,Liberia,10666,4806
6/30/15,Sierra Leone,13119,3932
6/30/15,Italy,1,0
6/30/15,Senegal,1,0
6/30/15,Guinea,3729,2482
6/30/15,Spain,1,0
6/30/15,Nigeria,20,8
6/30/15,United States of America,4,1
7/1/15,Sierra Leone,13119,3932
7/1/15,Senegal,1,0
7/1/15,Spain,1,0
7/1/15,United Kingdom,1,0
7/1/15,Guinea,3729,2482
7/1/15,Italy,1,0
7/1/15,Liberia,10666,4806
7/1/15,United States of America,4,1
7/1/15,Nigeria,20,8
7/1/15,Mali,8,6
7/2/15,Senegal,1,0
7/2/15,Italy,1,0
7/2/15,Liberia,10666,4806
7/2/15,Guinea,3745,2490
7/2/15,United States of America,4,1
7/2/15,Spain,1,0
7/2/15,Nigeria,20,8
7/2/15,Mali,8,6
7/2/15,Sierra Leone,13129,3933
7/2/15,United Kingdom,1,0
7/3/15,Liberia,10666,4806
7/3/15,United Kingdom,1,0
7/3/15,Nigeria,20,8
7/3/15,Senegal,1,0
7/3/15,United States of America,4,1
7/3/15,Guinea,3750,2492
7/3/15,Italy,1,0
7/3/15,Liberia,40,5
7/3/15,Spain,1,0
7/3/15,Mali,8,6
7/3/15,Sierra Leone,13135,3935
7/6/15,United Kingdom,1,0
7/6/15,Spain,1,0
7/6/15,Guinea,3744,2498
7/6/15,United States of America,4,1
7/6/15,Liberia,4,1
7/6/15,Nigeria,20,8
7/6/15,Mali,8,6
7/6/15,Sierra Leone,13150,3940
7/6/15,Senegal,1,0
7/6/15,Liberia,10666,4806
7/6/15,Italy,1,0
7/7/15,Italy,1,0
7/7/15,Spain,1,0
7/7/15,Liberia,4,1
7/7/15,Nigeria,20,8
7/7/15,United States of America,4,1
7/7/15,Sierra Leone,13155,3940
7/7/15,Senegal,1,0
7/7/15,Liberia,10666,4806
7/7/15,Guinea,3748,2499
7/7/15,Mali,8,6
7/7/15,United Kingdom,1,0
7/8/15,Nigeria,20,8
7/8/15,Liberia,4,1
7/8/15,United States of America,4,1
7/8/15,Spain,1,0
7/8/15,Sierra Leone,13155,3940
7/8/15,Mali,8,6
7/8/15,United Kingdom,1,0
7/8/15,Guinea,3748,2499
7/8/15,Italy,1,0
7/8/15,Senegal,1,0
7/8/15,Liberia,10666,4806
7/9/15,Liberia,10666,4806
7/9/15,Senegal,1,0
7/9/15,Nigeria,20,8
7/9/15,Liberia,6,1
7/9/15,United Kingdom,1,0
7/9/15,United States of America,4,1
7/9/15,Italy,1,0
7/9/15,Sierra Leone,13169,3941
7/9/15,Guinea,3744,2505
7/9/15,Mali,8,6
7/9/15,Spain,1,0
7/10/15,Senegal,1,0
7/10/15,Mali,8,6
7/10/15,Sierra Leone,13177,3941
7/10/15,Nigeria,20,8
7/10/15,Italy,1,0
7/10/15,Guinea,3751,2505
7/10/15,Liberia,6,1
7/10/15,Spain,1,0
7/10/15,United States of America,4,1
7/10/15,United Kingdom,1,0
7/10/15,Liberia,10666,4806
7/13/15,Nigeria,20,8
7/13/15,Liberia,10666,4806
7/13/15,Spain,1,0
7/13/15,Liberia,6,1
7/13/15,Senegal,1,0
7/13/15,Mali,8,6
7/13/15,United Kingdom,1,0
7/13/15,United States of America,4,1
7/13/15,Guinea,3754,2506
7/13/15,Italy,1,0
7/13/15,Sierra Leone,13201,3946
7/14/15,Senegal,1,0
7/14/15,United Kingdom,1,0
7/14/15,Liberia,7,2
7/14/15,Guinea,3760,2506
7/14/15,Spain,1,0
7/14/15,Liberia,10666,4806
7/14/15,Mali,8,6
7/14/15,Italy,1,0
7/14/15,United States of America,4,1
7/14/15,Sierra Leone,13209,3947
7/14/15,Nigeria,20,8
7/15/15,Spain,1,0
7/15/15,Nigeria,20,8
7/15/15,Italy,1,0
7/15/15,United Kingdom,1,0
7/15/15,United States of America,4,1
7/15/15,Guinea,3760,2506
7/15/15,Liberia,10666,4806
7/15/15,Liberia,7,2
7/15/15,Mali,8,6
7/15/15,Sierra Leone,13209,3947
7/15/15,Senegal,1,0
7/16/15,Mali,8,6
7/16/15,Italy,1,0
7/16/15,Guinea,3762,2506
7/16/15,Liberia,10666,4806
7/16/15,Spain,1,0
7/16/15,United Kingdom,1,0
7/16/15,Senegal,1,0
7/16/15,United States of America,4,1
7/16/15,Liberia,6,2
7/16/15,Sierra Leone,13209,3947
7/16/15,Nigeria,20,8
7/17/15,United States of America,4,1
7/17/15,Liberia,10666,4806
7/17/15,United Kingdom,1,0
7/17/15,Guinea,3770,2509
7/17/15,Italy,1,0
7/17/15,Nigeria,20,8
7/17/15,Liberia,7,2
7/17/15,Mali,8,6
7/17/15,Spain,1,0
7/17/15,Senegal,1,0
7/17/15,Sierra Leone,13209,3947
7/20/15,Nigeria,20,8
7/20/15,Liberia,10666,4806
7/20/15,Senegal,1,0
7/20/15,Guinea,3784,2511
7/20/15,United Kingdom,1,0
7/20/15,United States of America,4,1
7/20/15,Liberia,7,2
7/20/15,Italy,1,0
7/20/15,Sierra Leone,13241,3949
7/20/15,Mali,8,6
7/20/15,Spain,1,0
7/21/15,Liberia,7,2
7/21/15,Guinea,3783,2512
7/21/15,United States of America,4,1
7/21/15,Sierra Leone,13250,3949
7/21/15,United Kingdom,1,0
7/21/15,Spain,1,0
7/21/15,Liberia,10666,4806
7/21/15,Senegal,1,0
7/21/15,Mali,8,6
7/21/15,Nigeria,20,8
7/21/15,Italy,1,0
7/22/15,Sierra Leone,13250,3949
7/22/15,Spain,1,0
7/22/15,Guinea,3783,2512
7/22/15,Nigeria,20,8
7/22/15,Italy,1,0
7/22/15,Liberia,6,2
7/22/15,Senegal,1,0
7/22/15,United States of America,4,1
7/22/15,Liberia,10666,4806
7/22/15,Mali,8,6
7/22/15,United Kingdom,1,0
7/23/15,United States of America,4,1
7/23/15,Spain,1,0
7/23/15,Sierra Leone,13262,3949
7/23/15,Guinea,3788,2516
7/23/15,Liberia,10666,4806
7/23/15,United Kingdom,1,0
7/23/15,Nigeria,20,8
7/23/15,Mali,8,6
7/23/15,Senegal,1,0
7/23/15,Liberia,7,2
7/23/15,Italy,1,0
7/24/15,United States of America,4,1
7/24/15,Liberia,7,2
7/24/15,Mali,8,6
7/24/15,Liberia,10666,4806
7/24/15,Sierra Leone,13264,3949
7/24/15,Italy,1,0
7/24/15,Senegal,1,0
7/24/15,Guinea,3787,2517
7/24/15,Nigeria,20,8
7/24/15,Spain,1,0
7/24/15,United Kingdom,1,0
7/27/15,Spain,1,0
7/27/15,Mali,8,6
7/27/15,Senegal,1,0
7/27/15,Nigeria,20,8
7/27/15,Liberia,10666,4806
7/27/15,United States of America,4,1
7/27/15,Guinea,3792,2519
7/27/15,United Kingdom,1,0
7/27/15,Italy,1,0
7/27/15,Liberia,7,2
7/27/15,Sierra Leone,13283,3951
7/28/15,United States of America,4,1
7/28/15,Spain,1,0
7/28/15,Mali,8,6
7/28/15,United Kingdom,1,0
7/28/15,Sierra Leone,13290,3951
7/28/15,Guinea,3786,2520
7/28/15,Nigeria,20,8
7/28/15,Senegal,1,0
7/28/15,Italy,1,0
7/28/15,Liberia,10666,4806
7/28/15,Liberia,7,2
7/29/15,Nigeria,20,8
7/29/15,Sierra Leone,13290,3951
7/29/15,Liberia,10666,4806
7/29/15,United States of America,4,1
7/29/15,Senegal,1,0
7/29/15,Liberia,6,2
7/29/15,Spain,1,0
7/29/15,Mali,8,6
7/29/15,United Kingdom,1,0
7/29/15,Italy,1,0
7/29/15,Guinea,3786,2520
7/30/15,Guinea,3785,2521
7/30/15,Senegal,1,0
7/30/15,Spain,1,0
7/30/15,Mali,8,6
7/30/15,Sierra Leone,13379,3951
7/30/15,Nigeria,20,8
7/30/15,Italy,1,0
7/30/15,United States of America,4,1
7/30/15,Liberia,6,2
7/30/15,United Kingdom,1,0
7/30/15,Liberia,10666,4806
7/31/15,Nigeria,20,8
7/31/15,Senegal,1,0
7/31/15,United States of America,4,1
7/31/15,Liberia,6,2
7/31/15,Sierra Leone,13387,3951
7/31/15,United Kingdom,1,0
7/31/15,Guinea,3781,2521
7/31/15,Spain,1,0
7/31/15,Italy,1,0
7/31/15,Liberia,10666,4806
7/31/15,Mali,8,6
8/3/15,United Kingdom,1,0
8/3/15,Liberia,6,2
8/3/15,Sierra Leone,13402,3951
8/3/15,Italy,1,0
8/3/15,United States of America,4,1
8/3/15,Nigeria,20,8
8/3/15,Liberia,10666,4806
8/3/15,Guinea,3786,2522
8/3/15,Spain,1,0
8/3/15,Senegal,1,0
8/3/15,Mali,8,6
8/4/15,Spain,1,0
8/4/15,Sierra Leone,13406,3951
8/4/15,Liberia,10666,4806
8/4/15,United Kingdom,1,0
8/4/15,Italy,1,0
8/4/15,United States of America,4,1
8/4/15,Senegal,1,0
8/4/15,Mali,8,6
8/4/15,Nigeria,20,8
8/4/15,Guinea,3784,2522
8/4/15,Liberia,6,2
8/5/15,Guinea,3784,2522
8/5/15,Spain,1,0
8/5/15,Mali,8,6
8/5/15,Sierra Leone,13406,3951
8/5/15,Liberia,10666,4806
8/5/15,Italy,1,0
8/5/15,Senegal,1,0
8/5/15,Liberia,6,2
8/5/15,United States of America,4,1
8/5/15,United Kingdom,1,0
8/5/15,Nigeria,20,8
8/6/15,Spain,1,0
8/6/15,Guinea,3792,2524
8/6/15,Senegal,1,0
8/6/15,Mali,8,6
8/6/15,Nigeria,20,8
8/6/15,United Kingdom,1,0
8/6/15,Sierra Leone,13426,3951
8/6/15,Liberia,10666,4806
8/6/15,Liberia,6,2
8/6/15,United States of America,4,1
8/6/15,Italy,1,0
8/7/15,Liberia,6,2
8/7/15,Spain,1,0
8/7/15,Sierra Leone,13428,3951
8/7/15,United States of America,4,1
8/7/15,Liberia,10666,4806
8/7/15,Guinea,3795,2524
8/7/15,Senegal,1,0
8/7/15,United Kingdom,1,0
8/7/15,Nigeria,20,8
8/7/15,Italy,1,0
8/7/15,Mali,8,6
8/10/15,Liberia,6,2
8/10/15,United Kingdom,1,0
8/10/15,Sierra Leone,13465,3951
8/10/15,Senegal,1,0
8/10/15,Liberia,10666,4806
8/10/15,Spain,1,0
8/10/15,Guinea,3791,2524
8/10/15,Mali,8,6
8/10/15,United States of America,4,1
8/10/15,Italy,1,0
8/10/15,Nigeria,20,8
8/11/15,Spain,1,0
8/11/15,Guinea,3787,2524
8/11/15,Italy,1,0
8/11/15,Liberia,6,2
8/11/15,United States of America,4,1
8/11/15,Sierra Leone,13470,3951
8/11/15,Senegal,1,0
8/11/15,Nigeria,20,8
8/11/15,United Kingdom,1,0
8/11/15,Mali,8,6
8/11/15,Liberia,10666,4806
8/12/15,Liberia,6,2
8/12/15,Spain,1,0
8/12/15,United Kingdom,1,0
8/12/15,Nigeria,20,8
8/12/15,United States of America,4,1
8/12/15,Italy,1,0
8/12/15,Mali,8,6
8/12/15,Liberia,10666,4806
8/12/15,Senegal,1,0
8/12/15,Guinea,3787,2524
8/12/15,Sierra Leone,13470,3951
8/13/15,Senegal,1,0
